Rank,English Idiom / Meaning,Original Ancient Greek,Erasmus's Latin Entry,Ancient Source / Origin,Modern Usage Frequency
1,To leave no stone unturned,πάντα λίθον κινεῖν (pánta líthon kineîn),Nullum non movere lapidem,Euripides (Heraclidae),Ubiquitous
2,To call a spade a spade,"τὰ σύκα σύκα, τὴν σκάφην δὲ σκάφην ὀνομάζειν (tà sýka sýka, tḕn skáphēn dè skáphēn onomázein)","Ficus ficus, ligonem ligonem vocare",Aristophanes / Lucian,Very High
3,Crocodile tears,κροκοδείλου δάκρυα (krokodeílou dákrya),Lacrimae crocodili,Photius / Greek Proverbs,Very High
4,"In the land of the blind, the one-eyed man is king",ἐν τυφλῶν πόλει γλαμυρὸς βασιλεύει (en typhlôn pólei glamyròs basileúei),In regione caecorum rex est luscus,Greek Proverbial Corpora,High
5,One swallow does not make a summer,μία χελιδὼν ἔαρ οὐ ποιεῖ (mía chelidṑn éar ou poieî),Una hirundo non facit ver,Aristotle (Nicomachean Ethics),High
6,Between Scylla and Charybdis,τὴν Σκύλλαν ἐκφυγὼν τὴν Χάρυβδιν ἔπεσον (tḕn Skýllan ekphygṑn tḕn Chárybdin épeson),Evitata Charybdi in Scyllam incidi,Homer (Odyssey),High
7,To break the ice,τὸν κρύσταλλον ῥηγνύναι (tòn krýstallon rhēgnýnai),Scindere glaciem,Plutarch,High
8,To have one foot in the grave,τὸν ἕτερον πόδα ἐν τῇ σορώ ἔχειν (tòn héteron póda en têi sorôi échein),Alterum pedem in cymba Charontis habere,Lucian / Julian,High
9,A rolling stone gathers no moss,λίθος κυλινδόμενος φύκος οὐ ποιεῖ (líthos kylindómenos phýkos ou poieî),Musco lapis volutus non obducitur,Bion of Borysthenes,High
10,War is sweet to those who have not experienced it,γλυκὺ δὲ πόλεμος ἀπειράτοισιν (glykỳ dè pólemos apeirátoisin),Dulce bellum inexpertis,Pindar (Fragment 110),High
11,Know thyself,γνῶθι σεαυτόν (gnôthi seautón),Nosce te ipsum,Delphic Maxim / Chilon,Very High
12,Nothing in excess,μηδὲν ἄγαν (mēdèn ágan),Ne quid nimis,Delphic Maxim / Solon,Very High
13,Haste makes waste (Make haste slowly),σπεῦδε βραδέως (speûde bradéōs),Festina lente,Augustus / Suetonius (Greek origin),Very High
14,Iron sharpens iron,σίδηρος σίδηρον θήγει (sídēros sídēron thḗgei),Ferrum ferro acuitur,Greek Proverbs / Septuagint,High
15,To add fuel to the fire,πῦρ ἐπὶ πῦρ ὀχετεύειν (pûr epì pûr ocheteúein),Oleo camino addere,Plato (Laws),High
16,To pour water into a sieve,κόσκινον ὕδωρ φορεῖν (kóskinon hýdōr phoreîn),In pertusum ingerere dolium,Xenophon / Lucian,High
17,To teach an old dog new tricks / Teach an old man,γέροντα διδάσκειν γράμματα (géronta didáskein grámmata),Senem docere literas,Diogenianus,High
18,Out of the frying pan into the fire,τὸ πῦρ φεύγων εἰς τὸν καπνὸν ἔπεσον (tò pûr pheúgōn eis tòn kapnòn épeson),Fugiens fumum in ignem incidi,Lucian / Plato,High
19,To carry owls to Athens (Coals to Newcastle),γλαῦκ᾽ εἰς Ἀθήνας (glaûk' eis Athḗnas),Noctuas Athenas ferre,Aristophanes (Birds),High
20,Time reveals all things,ὁ χρόνος πάντα διδάσκει (ho chrónos pánta didáskein),Tempus omnia docet,Aeschylus (Prometheus Bound),High
21,Fortune favors the bold,τόλμῃ δίκαια ὁμοιοῦται (tólmēi díkaia homoioûtai),Audaces fortuna iuvat,Menander / Simonides,High
22,A friend in need is a friend indeed,ἐν τοῖς κακοῖς γὰρ οἱ φίλοι σαφέστατοι (en toîs kakoîs gàr hoí phíloi saphéstatoi),Amicus certus in re incerta cernitur,Euripides (Hecuba),High
23,To hold a wolf by the ears,τῶν ὤτων ἔχω τὸν λύκον (tôn ṓtōn échō tòn lýkon),Lupum auribus teneo,Terence / Greek Proverb,Moderate
24,Even Homer nods,ἁμαρτάνει τι καὶ σοφός (hamartánei ti kaì sophós),Quandoque bonus dormitat Homerus,Horace / Greek Literary Tradition,Moderate
25,Custom is second nature, ethos ἐστὶ φύσις ἑτέρα (ēthos estì phýsis hetéra),Consuetudo est altera natura,Aristotle / Galen,High
26,To build castles in the air,ἀέρα γεωμετρεῖν (aéra geōmetreîn),Aera metiri,Aristophanes (Clouds),High
27,One bad apple spoils the barrel,μία ψώρα ὅλον τὸ σῶμα λυμαίνεται (mía psṓra hólon tò sôma lymaínetai),Uva uvam videndo varia fit,Greek Proverbial Corpus,High
28,To wash an Ethiopian white (Futile labor),Αἰθίοπα σμήχειν (Aithíopa smḗchein),Aethiopem lavas,Lucian / Aesop,Moderate
29,To flog a dead horse,ὄνον ἐλαύνειν (ónon elaúnein),Asinum stimulas,Sophocles / Lucian,Moderate
30,Words are wind,ἔπεα πτερόεντα (épea pteróenta),Verba ventis similia,Homer (Iliad),Moderate
31,Necessity knows no law,ἀνάγκῃ οὐδὲ θεοὶ μάχονται (anánkēi oudè theoì máchontai),Necessitas non habet legem,Simonides / Plato,High
32,To grasp at straws,ἐκ σχοινίου ἐλπίδα ἔχειν (ek schoiníou elpída échein),Spem e fune pendere,Greek Anthologies,High
33,A sound mind in a sound body,νοῦς ὑγιὴς ἐν σώματι ὑγιεῖ (noûs hygiḕs en sṓmati hygieî),Mens sana in corpore sano,Thales / Pre-Socratics,High
34,To tread on thin ice,ἐπὶ ξυροῦ ἄκμης ἵστασθαι (epì xuroû ákmēs hístasthai),In razor's edge / In flamma incedere,Homer / Herodotus,Moderate
35,To paint the lily / To add color to white,λευκὸν ἐπὶ λευκῷ γράφειν (leukòn epì leukôi gráphein),Album in albo scribere,Plutarch,Moderate
36,A gift that is no gift,δῶρον ἄδωρον (dôron ádōron),Malignum donum,Sophocles (Ajax),Moderate
37,Look before you leap,βουλεύου πρὸ ἔργου (bouleúou prò érgou),Deliberandum est diu quod statuendum est semel,Isocrates / Aesop,High
38,"Grasp all, lose all",ὁ τὰ πάντα διώκων οὐδὲν αἱρεῖ (ho tà pánta diṓkōn oudèn aireî),Qui totum vult totum perdit,Aesop (Fables),High
39,To swim against the current,πρὸς κέντρα λακτίζειν (pròs kéntra laktízein),Contra stimulum calcitrare,Aeschylus / Euripides,Moderate
40,Walls have ears,τοῖχοι βλέπουσιν καὶ ἀκούουσιν (toîchoi blépousin kaì akoúousin),Parietes aures habent,Greek Folk Proverb,High
41,To beat around the bush,κύκλῳ βαδίζειν (kýklōi badízein),Circumlocutione uti,Aristophanes,High
42,Knowledge is power,γνῶσις δύναμίς ἐστιν (gnôsis dýnamís estin),Scientia potestas est,Plato / Aristotle Tradition,High
43,Better late than never,κρεῖσσον ὀψιμαθῆ ἢ ἀμαθῆ (kreîsson opsimathê ḕ amathê),Potius sero quam numquam,Diogenes Laertius,Very High
44,Laughter is the best medicine,γέλως ἄριστον φάρμακον (gélōs áriston phármakon),Risus optimus medicamentum,Menander,High
45,Barking dogs seldom bite,οἱ ὑλακτοῦντες κύνες οὐ δάκνουσιν (hoí hylaktoûntes kýnes ou dáknousin),Canes timidi vehementius latrant,Quintus Curtius / Greek Aesop,High
46,Silence gives consent,ὁ σιωπῶν συντίθεται (ho siōpôn syntíthetai),Qui tacet consentire videtur,Euripides / Sophocles,High
47,To take the bull by the horns,τῶν κεράτων λαμβάνειν τὸν ταῦρον (tôn kerátōn lambánein tòn taûron),Taurum cornibus tenere,Greek Heroic Lore,High
48,Strike while the iron is hot,τὸν σίδηρον παίειν ἕως θερμός ἐστιν (tòn sídēron paíein héōs thermós estin),Dum fervet opus percutere,Lucian,High
49,To kill two birds with one stone,μιᾷ πληγῇ δύο λύειν (miâi plēgêi dýo lýein),Uno saltu duos apros capere,Greek Comedy Fragments,High
50,Beauty is in the eye of the beholder,τὸ καλὸν οὐ πάντεσσι φίλον (tò kalòn ou pántessi phílon),Forma in oculo intuentis,Theocritus,High
51,Light burdens break no backs,κουφίζει τὸ ἄχθος ἡ κοινωνία,Leve fit quod bene fertur onus,Ovid / Greek Origin,Moderate
52,Custom is the king of all,νόμος πάντων βασιλεύς (nómos pántōn basileús),Consuetudo est omnium regina,Pindar,Moderate
53,Every man is the architect of his own fortune,ἕκαστος ἑαυτῷ τῆς τύχης τέκτων,Faber est quisque fortunae suae,Appius Claudius / Greek Idea,Moderate
54,Example is better than precept,παράδειγμα προτιμότερον τοῦ λόγου,Exemplum praecepto melius,Isocrates,Moderate
55,Extremes meet,τὰ ἔσχατα συνάπτει,Extrema se tangunt,Aristotle,Moderate
56,"First come, first served",ὁ φθάσας ἁρπάζει,"Qui prior venit, prior molit",Aristophanes,Moderate
57,Give place to your betters,εἴκον τῷ κρείττονι,Cede superioribus,Hesiod,Moderate
58,God helps those who help themselves,σὺν Ἀθηνᾷ καὶ χεῖρα κίνει,Cum Minerva manum move,Aesop,Moderate
59,Good news travels fast,ταχεῖα φήμη τῶν κακῶν τε καὶ ἀγαθῶν,Fama volat,Homer,Moderate
60,Great minds think alike,αἱ μεγάλαι φρένες συμφρονοῦσιν,Magni intellectus in idem coincidunt,Diogenes,Moderate
61,Greed loses all,ὁ πλεονέκτης πάντα ἀπολλύει,Avaritia omnia perdit,Aesop,Moderate
